Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
48,Bismack Biyombo\biyombi01,C,28,CHO,58,1201,12.0,.570,.005,.468,10.9,17.0,13.9,8.4,0.7,5.5,18.5,11.5,,0.9,1.2,2.2,.086,,-3.0,-0.1,-3.1,-0.3
49,Nemanja Bjelica\bjeline01,PF,32,TOT,35,537,11.5,.537,.423,.269,5.1,19.4,12.2,15.1,1.0,0.7,13.7,18.3,,0.3,0.2,0.5,.042,,-2.2,-1.4,-3.6,-0.2
49,Nemanja Bjelica\bjeline01,PF,32,SAC,26,439,12.8,.555,.387,.280,6.0,19.7,12.7,15.3,0.9,0.4,14.3,19.3,,0.4,0.1,0.4,.046,,-1.3,-1.7,-3.0,-0.1
49,Nemanja Bjelica\bjeline01,PF,32,MIA,9,98,5.9,.423,.640,.200,1.2,18.2,9.8,14.4,1.5,2.1,9.9,13.9,,-0.1,0.1,0.0,.021,,-6.6,-0.1,-6.7,-0.1
50,Eric Bledsoe\bledser01,SG,31,NOP,63,1878,11.2,.534,.506,.252,1.5,10.8,6.2,16.5,1.2,1.0,12.5,18.1,,1.0,1.0,2.0,.050,,-1.2,-1.5,-2.7,-0.3
51,Keljin Blevins\blevike01,SF,25,POR,13,63,-0.9,.278,.389,.000,3.3,7.0,5.1,8.1,1.5,0.0,14.3,14.3,,-0.2,0.0,-0.2,-0.133,,-8.9,-3.0,-11.9,-0.2
52,Bogdan Bogdanović\bogdabo01,SG,28,ATL,38,1108,15.9,.589,.577,.078,1.8,12.3,7.1,17.6,1.6,0.8,9.1,21.2,,1.8,0.8,2.6,.113,,2.3,0.1,2.4,1.2
53,Bojan Bogdanović\bogdabo02,SF,31,UTA,64,1958,13.3,.578,.520,.287,1.9,10.9,6.6,9.1,0.9,0.2,10.3,21.9,,2.3,2.1,4.4,.107,,-0.2,-0.9,-1.0,0.5
54,Bol Bol\bolbo01,PF,21,DEN,28,131,13.4,.621,.426,.298,0.0,16.4,8.2,7.5,1.1,7.4,19.6,22.1,,-0.1,0.2,0.1,.044,,-1.8,0.6,-1.2,0.0
55,Marques Bolden\boldema01,C,22,CLE,6,29,13.3,.537,.000,2.667,11.4,11.9,11.6,0.0,3.4,6.2,23.5,12.8,,0.0,0.0,0.0,.066,,-3.4,0.6,-2.8,0.0
56,Jordan Bone\bonejo01,PG,23,ORL,14,196,8.9,.519,.593,.000,2.1,11.1,6.4,13.5,0.5,0.0,5.3,12.6,,0.1,0.1,0.2,.049,,-2.6,-1.6,-4.2,-0.1
57,Isaac Bonga\bongais01,SF,21,WAS,39,426,4.2,.467,.575,.100,4.5,11.9,8.2,6.4,1.2,1.6,20.1,10.2,,-0.3,0.3,0.0,.003,,-5.5,-0.8,-6.3,-0.5
58,Devin Booker\bookede01,SG,24,PHO,60,2028,19.4,.587,.291,.293,1.5,12.1,6.9,21.4,1.2,0.7,12.7,32.9,,2.5,2.0,4.5,.107,,1.5,-1.2,0.2,1.1
59,Chris Boucher\bouchch01,C,28,TOR,59,1415,22.2,.639,.415,.345,8.8,22.5,15.4,7.1,1.2,7.8,6.8,20.6,,4.0,2.1,6.1,.208,,2.8,0.2,3.1,1.8
60,Brian Bowen\bowenbr02,SF,22,IND,6,15,1.1,.338,.250,.250,0.0,21.6,10.8,0.0,0.0,0.0,0.0,12.6,,0.0,0.0,0.0,-0.062,,-8.2,-3.3,-11.5,0.0
61,Avery Bradley\bradlav01,SG,30,TOT,26,577,6.7,.498,.594,.091,1.3,9.0,5.1,10.7,1.7,0.6,13.2,14.9,,-0.4,0.4,0.0,.003,,-4.6,-0.7,-5.2,-0.5
61,Avery Bradley\bradlav01,SG,30,MIA,10,211,10.4,.607,.576,.136,1.1,8.4,4.8,10.1,1.7,0.5,11.4,16.9,,0.1,0.2,0.3,.074,,-2.7,-0.6,-3.2,-0.1
61,Avery Bradley\bradlav01,SG,30,HOU,16,366,4.6,.423,.606,.061,1.4,9.4,5.2,11.0,1.7,0.7,14.3,13.8,,-0.5,0.2,-0.3,-0.038,,-5.7,-0.7,-6.4,-0.4
62,Tony Bradley\bradlto01,C,23,TOT,38,615,21.0,.674,.017,.287,14.1,23.6,18.9,8.1,1.2,4.0,13.0,16.0,,1.6,0.9,2.5,.196,,1.2,0.2,1.3,0.5
62,Tony Bradley\bradlto01,C,23,PHI,20,287,21.1,.683,.013,.147,15.2,24.5,19.9,8.8,1.0,4.0,7.0,12.8,,1.0,0.5,1.5,.244,,2.1,1.0,3.1,0.4
62,Tony Bradley\bradlto01,C,23,OKC,18,328,20.8,.667,.019,.388,13.2,22.7,17.9,7.6,1.3,4.0,16.6,18.7,,0.6,0.4,1.0,.153,,0.4,-0.6,-0.2,0.1
63,Jarrell Brantley\brantja01,PF,24,UTA,23,116,16.0,.636,.575,.050,5.7,14.9,10.5,13.9,2.1,1.4,12.8,17.4,,0.2,0.2,0.4,.176,,-0.2,1.5,1.3,0.1
64,Ignas Brazdeikis\brazdig01,SF,22,TOT,5,15,-1.2,.205,.250,.500,7.3,21.7,14.6,8.1,0.0,0.0,17.0,17.1,,-0.1,0.0,0.0,-0.157,,-11.5,-3.1,-14.6,0.0
64,Ignas Brazdeikis\brazdig01,SF,22,NYK,4,7,11.2,.532,.000,2.000,15.7,15.5,15.6,17.4,0.0,0.0,34.7,18.2,,0.0,0.0,0.0,.039,,-2.9,-1.9,-4.8,0.0
64,Ignas Brazdeikis\brazdig01,SF,22,PHI,1,8,-12.0,.000,.333,.000,0.0,27.1,13.8,0.0,0.0,0.0,0.0,16.1,,-0.1,0.0,-0.1,-0.328,,-18.9,-4.2,-23.2,0.0
65,Mikal Bridges\bridgmi01,SF,24,PHO,64,2094,15.9,.653,.477,.194,3.8,11.0,7.5,9.0,1.5,2.4,7.3,14.9,,4.5,2.5,7.0,.160,,1.9,0.8,2.7,2.5
66,Miles Bridges\bridgmi02,PF,22,CHO,64,1858,14.6,.628,.461,.187,4.6,18.3,11.4,11.4,1.1,2.6,14.0,17.1,,2.3,1.8,4.1,.107,,0.1,0.0,0.0,0.9
67,Amida Brimah\brimaam01,C,26,IND,4,27,18.3,.697,.000,.375,4.0,24.0,14.1,5.3,0.0,15.1,24.4,19.5,,0.0,0.1,0.1,.110,,-4.5,2.5,-2.1,0.0
68,Oshae Brissett\brissos01,SF,22,IND,12,276,19.1,.660,.532,.430,6.7,21.2,14.0,4.9,1.4,5.0,5.1,15.3,,0.7,0.4,1.1,.189,,1.6,0.0,1.6,0.3
69,Malcolm Brogdon\brogdma01,PG,28,IND,56,1930,18.1,.561,.382,.181,3.3,13.2,8.3,26.1,1.2,0.6,9.8,26.0,,3.0,1.4,4.4,.108,,2.9,-1.4,1.5,1.7
70,Armoni Brooks\brookar01,SG,22,HOU,13,291,5.6,.474,.854,.073,2.1,14.9,8.2,7.4,0.7,0.6,12.4,16.5,,-0.4,0.1,-0.2,-0.035,,-3.9,-2.3,-6.2,-0.3
71,Dillon Brooks\brookdi01,SF,25,MEM,59,1733,12.0,.517,.362,.183,2.8,7.8,5.3,11.6,1.9,1.2,10.3,26.1,,-0.5,1.6,1.1,.031,,-2.7,-1.3,-4.0,-0.9
72,Bruce Brown\brownbr01,PG,24,BRK,58,1278,15.6,.597,.148,.285,8.8,16.7,12.9,9.6,2.0,1.4,10.7,15.9,,2.3,1.3,3.6,.136,,-0.7,0.0,-0.7,0.4
73,Charlie Brown\brownch02,SG,23,OKC,3,48,4.1,.377,.579,.105,2.2,13.1,7.6,5.9,3.0,1.8,13.1,20.2,,-0.2,0.1,-0.1,-0.095,,-8.1,0.2,-7.9,-0.1
74,Jaylen Brown\brownja02,SG,24,BOS,58,1999,20.0,.586,.370,.225,3.9,15.5,9.7,16.6,1.8,1.5,11.5,29.7,,3.0,2.0,5.0,.119,,3.5,-1.0,2.5,2.3
75,Moses Brown\brownmo01,C,21,OKC,36,732,18.7,.584,.000,.488,16.9,26.2,21.5,1.5,1.6,4.1,12.7,17.4,,1.1,1.0,2.1,.138,,-1.2,-1.4,-2.6,-0.1
76,Sterling Brown\brownst02,SG,25,HOU,51,1229,11.2,.597,.642,.093,3.2,16.8,9.7,8.5,1.5,0.9,10.5,13.5,,1.0,0.9,2.0,.077,,-1.7,0.0,-1.7,0.1
77,Troy Brown Jr.\browntr01,SF,21,TOT,34,524,8.6,.525,.486,.146,4.2,17.5,10.9,7.3,0.9,1.0,12.1,14.0,,0.0,0.4,0.5,.042,,-3.3,-1.0,-4.3,-0.3
